Abbreviated,Full Name
T2K,Trained To Kill
RF,RedFire.Wasd Arena
Ragn,Ragnarok
PN,PN Crew
Ben1,Ben10
DG,Damaru Gaming
HOE,Hell on Earth
CLOY,Crash Landin on You
Tena,Tenacity
RG,m.eS Revolutionary Gamers
uG,Union Gaming
wm,nA Whiff Masters
RnG,Run and Gun
IES,Insurgent Esports
XLE,Exceeli Esports
Lari,Lariox Esports
Rega,Regal E-Sports
Zeus,Zeusaberz Esports
GLAD,GLADIATORS
TP,Typhoon
MAXD,MAXD Esports
SUS,SUS SquaD
RedM,RedMonk Junior
VL,Valorant
xCee,xCeed
OF,Oblivion Force
XO,Team XO
YODH,YODHA Esports B
BRN,Bren Esports
CBT,CBT Gaming
EGO,EGO
SPE,Sharper Esport
ONIC,ONIC G
FA,Five Ace Esports
GXR,Galaxy Racer
BAAM,Team Big BAAM
UwU,UwU
AE,Alter Ego
CES,CERBERUS Esports
OAS,Oasis Gaming
SH,Stars Horizon
JGG,Jaguares Esports
NAVI,Natus Vincere
forZ,forZe
GIA,Giants Gaming
FPX,FunPlus Phoenix
FF,Full Flashed
9z,9z Team
Pana,Pana.Rabbit
BM,Border Monsters
TSM,TSM
aaaa,aaaa
ORGL,Orgless
BZR,Bizarre Gaming
SN,Shadownet
SOTZ,Straight Outta The Zoo
KGM,Kingsmen
VLN,Villains Esports
Whee,Wheels
POTE,POTENT
Sene,Senegy Gaming
HH,Hollywood Hooliganz
fM,Funky Monkeys
Mc,McTeam
PIGE,Pigeons Esports
FNLTY,Finality
95x,95x Esports
Outl,Outlaws
VRTX,VERTEX
KU,Klaus
SW,Siberian Wombats
NOX,Equinox Esports
ZR,Zero Risk
LFT,LFT
UK,Unknown
EL,ELNiS Esports
GMG,GOMA
Man,Man Of the Match 
Tail,Tail Nine Esports
WGS,World Game Star
oFby,oFby
GNG,GoNGo Prince
RYU,RYU Gaming
BI,BE INFAMOUS
Flom,Floma Gaming
TNL,TNL Esports
Youn,Young Guys Club
DFR,DFR
ASG,Alpha Six Gaming
AGAi,AGAiN
PM,PM
100su,Mujig 100su
CHU,GochuGaru
Bë,Bë přø
GHS,Gehenna Sweepers
INS,Insomnia
BBI,BlackBird Ignis
FEL,Feeling
naos,naosei
Only,Only Biladerler
END,EndGame
UNKT,UNKTEC
LilB,LilBabies
SHV,Stars Horizon Vênus
EXZ,Extenzy Gaming
Revo,RevoadaVLR
KG,KG Network
F2DS,F2DS Team
AUTH,AUTHORITY
BTF,Botafogo eSports
NO2,NOORG2.0
ING,INGAMING Esports
SLK,SLICK
XcN,XcN Gaming
BSTR,BEAST
Kasi,Kasih
PES,PANDORA ORIS
RRQ,Rex Regum Qeon
VOINxDRIP,VOIN DRIP
NFA,Team NFA
SYND,SYNDICATE7
NXLGA,NXLG Academy
YTX,Yang Terxakiti
EPIC,EPIC
CNL,Cynical
L9,Langit9
PXM,Proxymine
AING,AING MAUNG Esports
BTR,Bigetron Arctic
MRP,Morph Impact
Need,Need Sponsor
105,Y10.5
Z11,Z11
INT,Intense Gaming
AirG,AirGii
INFN,The Infinity Esport
JK,JAKKAJEE
Vice,Vicez
LYX,LYNX TH
FWE,FW Esports
WB,Worst Brutals
Buil,Built Different
LT,Lightning
CRX,CRX Team
WT,WATCH THIS
Phoe,Phoenix
HV,Horse Victory
TTRS,TRAITORS
YMG,YAMAGAN
CJ,Clutch Jeans
AEEC,Anti Eco Eco Club
GFN,Griffin E-Sports
uhrb,uhrbtgjmny8
Fast,Fast L
OGB,OG Brudders
Brai,Brain And Friends
Orig,Original Gamers
ZS,Zero Synergy White
LFO,Looking For Org
TDK,Todak
Xzer,Xzeroyal
Runn,Running Dogs
One,One Meta Gaming
UR,UndeRank
0Zer,0Zero
MSC,Myschief
LVR,Louvre
S4F,SHOOT FOR FUN
CBR,Circus Brothers
57RBB,57 Rach Bunh Binh
STG,StormiG
HG,HE Gaming
Kantic,Kantic Gaming
5Sta,5Star
DOM,Dominus Esports
LIP,Lipxitus
ICE,ICE Ivory
ISel,ISellPower
Lv10,Lv10
SDM,Sneaker Daily Meloner
FEAR,FEARUS
2K E,2K Esports
AKAT,AKATSUKI
TF,Take Flyte
CAP,Team Capalot
MEOG,MEOGANG
Inst,Instant Noodles
DXG,DivisionX Gaming
FCY,Fancy United Esports
APH,Action PH
CSS,Cerulean Sentinel Esports Black
AKP,Asylum of Killing Prodigies
LMC,LMC Esports
BSTL,Bestial
SBE,South Built Esports
UCE,UCFC Esports
GBP,GBP Esports
DR,DR Esports
Xtre,Xtreme Elite Esports
ZLS,Zeal Esports
RD E,RD Esports
Olym,Olympus
AEE,Aether Esports
AR,ANARCHY
KDM,KADILIMAN
SS,Swag Silicone
NAJIN,NAJIN Rivals
STRM,STRM Esports FLUX
LC,Lancraft
Equi,Equipe
MET,META Southrons
FRC,Fractal
Dyna,Dynasty Esports Vikings
IMPE,IMPERIUM
VE,Void Esports
SV,SV Empire
AEP,Alpha Esports Pro
ECG,En corto gamers
La n,La nueva era
tr4s,tr4sh
Acid,Acid Gaming - Never Refraq
Ulti,Ultima
Guns,Guns and Rage
SKC,Skull Cracker
No L,No Limit Latam
PEEK,PEEK Gaming
Unic,Unic
FNK,Funkboings
Azte,Aztec Esports
Gran,GrandSpirit
Inte,Interstate 95
Reve,Reven Esports
Meta,Meta Gaming 
OPWO,OPWOLF
PAM,PAMPAS
Malv,Malvinas Gaming
MOX,Optix
LEV,Leviatán
OEST,OESTE FWT
Legi,Legion de Reconocimiento
TriM,TriMG
Roni,Ronin Team
FROM,FROM NEW YORK
Sout,SouthEagles Gaming
VLX,Velox
UC,Cruzados Esports
FG,Furious Gaming
Kaos,Kaos Latin Gamers
Moti,Motion Team
AKV,Akave Esports
RYZ,Ryze Gaming
PASS,Pass Gaming
pepe,pepecool
East,East Hill
Dept,Depth Esports
Foxy,Foxy
God,God Given
SQ,Soniqs
M2M,Method2Madness
Vial,Vial
Comp,Company 8
Stea,Stealth
OOKE,OOKERS
WBB,WeBareBears
ez5,ez5
LR,Last Resistance
What,What's going on
DILF,Damn I Love Fwogs
GHST,Ghost Gaming
WL,White Lotus
ex-R5,ex-Recon 5
FH,Frag Hunters
slim,slime slats
Rebo,Reborn
C9W,Cloud9 White
Evol,Evolved Gaming
IMT,Immortals
IluZ,IlluZion
UGK,UGK Esports
1337,1337va
MoBu,MoBuckets
AAS,All Around Savants
STRE,STREET SHARKS
DZ,DarkZero Esports
PSIS,PSISTORM
AME,afterMath Esports
FIU,FIU Valorant
BF,Big Frames
STOR,STORM
LRS,Last Round Save
Aggi,Aggie Gaming at UC
PK,Knights
AA,ArkAngel
ECAP,ECAP
Buff,Buffalo
SoaR,SoaR
Zoom,Zoomers
Valk,Valkyrie
Crow,Crowd Pleasers
ABX,Andbox
Swa, Sway eSports
Orga,Organic Gamers
free,freelo
ZMM,Zero MarksMen
BG,Babos Gaming
CoT,CoT
99,99% Effort
TM,Tarren Mill
303,303 Esports
4G,4 Gorillas and A Monkey
Apes,Apes Together Strong
Levi,Levitate
FLu,FLu Esports
T1,T1
Spec,Spectrum Swing
Taip,Taipan Esports
o7,o7
BA,Bait Academy
Prof,Professional Malders
SYN,Synergy
RNG,Renegades
Waif,Waifu Warriors
SR.GC,Shopify Rebellion GC
Pog,Pog Champions
YFP,YFP Gaming
mozz,mozzymembas
FYB,FYB
PMA,positive mental attitude
VRT,VIRTUOSO
DV,Dallas Vendetta
IVI,DIVIZE
Half,HalfBliss
D2E,D2E Gold
Indi,Indiana Syndicate
BBG,Built By Gamers
Hoax,Hoax
CN,Carpe Noctem
Amog,Amogus
AI,Almost International
MIRA,MIRACLE
HZN,HorizonGG
Zelo,Zelo
Cele,Celestial Violet
GF,Game Fist
Suss,Sussy
COL,Complexity
Carn,Carnos Arks
KGG,Karma
EG,Evil Geniuses
LZR,Lazarus
XTR,XTR
CLG,CLG Red
Hyst,Hysteria
FNR,FNR White
UYU,UYU
TO,Triangle Offense
Vale,Vale
NRG,NRG Esports
Magm,Magma
RESO,Resonate
Fide,Fidelity
Able,Able Esports
Kara,Karasuno
Brim,Brimstone Gaming
TR,Team Reckaroo
RB,Rock Bottom 
KCP,Pioneers
OG,Onslaught Gaming
fR,fReya
TGH L,The Goose House Lunar
The,The Impaler
CE,Celestial Esports
Aesi,Aesir Esports
deto,detox
SHIN,SHINY
AT,Absurd Talents
GG,Team Galaga
ZDL,Les Zinzins De Lespace
Sp,SurrealpLay
Peep,Peepolads
Deez,Deez nuts
Band,Banditz
Nowy,NowyTowiec
SGG,ShadowzGG
Flas,FlashDash
Nope,Nope
Proj,Project GreyWing
MTP,MTP Esport
kapt,kapten mint
L2P,Learn 2 Play
Tris,Trisium Esports
On V,On Vient CS
RIX,Rix.GG Thunder
logi,logicialat
kryz,kryzys
Mega,Megastitut
DTG,Dark Tigers
ayne,ayned
Kjot,Kjottkaker i brun saus
Igni,Ignite
AKA,Chakalaka
Poin,PointAndClick
ES,eSuba
Roge,RogerRoger
Huma,Humanity Esport
Frel,Frelo
NEBU,NEBULAA
psyh,psyhiatryk
AG,AVALON Gaming
Capr,Capri Sun
Bons,Bonsoir
Espo,Esport Szombathely
Mant,Mantou
MANG,MANGO
Un M,Un Mix Ta Peur
Feli,Felix and Friends
5man,5mancore
LB,Lanboken
5 ba,5 baguettes
Woof,WoofWoof
BATS,BATS eSports
rciv,rcivarkaat
R$,Reject$
KILL,KILLJOY GAMING
Vacu,Vacuumers
atre,atreus
EGN,EGN Esports
Pomi,Pomidorki W Louis
LvL,LvL Up Esport
Dont,Dont Throw
WLG,WLGaming Esports
AllS,AllStar
YZ,Yendez
Budg,Budget Aimers
Bifr,Bifrost
San,San
CGN,CGN Esports
PSQ,PSQ
21S,21Solution Esports
Mix,Mix Helios
Ehbi,Ehbit Gaming
TOSP,Totally Spies
Shie,Shield Esport
FAR,FARMERS
SHUS,SHUSH
Stra,Stramme Mangos
team,team04ka
AvgJ,Average Joes
WFNT,Winfinity
Stuv,Stuverance Esport
ANM,Anonymo Esports
Vitr,Vitriolic
Maso,Masonic
MCK,Macko Esports
šmu,šmucky
Nood,Noodle Arm Athletes
ChiP,Chicago Parsnips
Revi,Revival
IceW,IceWolves Esports
DWN,New Dawn Esports
Bad,Bad Karma Esports
Gami,Gaming Barracks
Enda,Endavant
Hex,Hex Esports
TC,Trident Clan
Ukul,Ukulele
OVA,Ovation eSports
5 Yu,5 Yung Drillas
AXI,AXIBYTE ESPORTS
Clea,CleanupCrew
wS,webSPELL
smel,smell33t
świ,świeca
1N,1Night eSport
HmmE,HmmEscuta
KOIF,KOIFISH
LDN,LDN UTD
xd,ehehxd
Hai,Hai IQ
iPon,iPon Esport
Mustang,Mustang Gaming
WiLD,WiLD MultiGaming
Karu,Karutis
Duck,Duck Gaming
owna,ownage
Rave,Rave Party
MDS,MDS Factory
FRTS,Fratres
Tiik,Tiikeri
Balk,Balkan Stars
NxS,Nexus Gaming
nF,noFEAR
X7,X7 Ireland
V7,Vertical Seven Esports
couc,couchless
OLD,OLD NVIDIA VERSION ABUSERS
Stin,Sting
FlyM,FlyMatez
unjo,unjobbed
Cunn,Cunning Stunts
EDGE,EDGE
XL,EXCEL
Beag,Beagles
PS,Penguin Sledding
Dame,Dame Time
Afri,Afrikans
Ghos,GhostFamily E-Sports
AREA,AREA
EXEN,EXEN Esports
FTW,FTW Esports
Ingenuity,Ingenuity
Baec,Baecon GG
BX,BLXST
Soul,Souldazz
ORO,ORO Esports
TDI,TDI
FCG,ECM FCG eSports
PRAC,PRACC
KPI,KPI Gaming
Dele,Delete Kayo
Aimb,Aimbot Astronauts
EnM,Elo and Muscle
Chos,Chosen Five
SMP,Team Sampi
Skel,Skelp Esports
PACT,PACT
19,19esports
ATR,ATRAVS
PLS,NoPoaching
TH,Team Heretics
Lanc,Lancers
UBI,UBITEAM
HEET,HEET
JH,Jeremiah
BTS,Cream Real Betis
gso,gso
BEE,Békéscsabai E-sport Egyesület
RISE,RISE Esports
soyb,soyboys
bref,bref
NsG,NonsenseGaming
Supe,Super-Ukrainci
Mixe,Mixed Reality
Exal,Exalty
TQ,Team Queso
Last,Last Chance
m8,m8 Esports
Circ,Circe
monk,monkes
Spir,Spirit Gaming
Rugr,Rugrats
qz,qz
IVY,IVY
STAGA,STAGA
Vexed,Vexed Gaming
NRAGE,ENRAGE
SzG,Sprayz Gaming
IG,Invicta Gaming
SAW,SAW
driv,driveBy
UCAM,UCAM Esports Club
WAVE,Wave Esports
ALL,Alliance
BK ROG,BK ROG Esports
VIT,Team Vitality
BIG,BIG
FNST,Finest
TEN,TENSTAR
NIP,Ninjas in Pyjamas
BDS,Black Dragon Society
KFLR,Kafalar eSports
Just,Just W
We R,We Raise Sirius
Aete,Aeterna Victrix
Scha,Schat'z
MLE,Merlyn Esports
Mill,Millennium Agency
Sapl,Saplak
UP,Unknownpros
COUS,COUSINS
CSE,Cyber Skull Esports
Uniq,Unique
Koca,Kocaeli Esports
Vals,Valstars Gaming
Art,Art of Team
mix5,mix5
NWA,Ninjas with Attitude
Rayl,Raylex Esports
IA,Imagine Age
FB,Fenerbahçe Esports
Magi,Magic Gem
OutR,OutRage
SUR,Surreal Esports
5 Th,5 Thieves
SR,Space Rebels
SHN,SHN Esports
Zoni,Zonia Esports
BOY,BEATOFFYOU
KAST,KASTIRALIS
WR,We Raise Blame
DATH,Digital Athletics
Free,FreeAgents
yell,yellow
Anat,Anatolia Esports
TES,Team Evo Seek
vega,vega
OW,Overwatch
Navy,Navy Blue
GGO,Gringo Team
Diji,Dijirad Esports
WEDA,Weda Esports
36NU,36NUMBER
Bbal,Bballerz
XFlo,XFlow Esports
Nove,Novella
FOX,FOXNGAME Esports
Look,Looking For Sponsor
BJK,Beşiktaş Esports
Burs,BursaEspor
Nuke,Nuke Destroyed Rabbits
keba,kebabmasterz
ALTI,ALTIN KARIYER Esports
PCF,PCIFIC Espor
Anga,Angara Esports
Cobr,CobraKai
FBI,FBI Espors
Unit,UnityBelief
RARE,RARE Esports
REG,Regnum Carya Esports
AUR,Team Aurora
GAL,Galakticos
IW,İstanbul Wildcats
TBG,Thunderbolts Gaming
ZZ,Zero Zone
BBL,BBL Esports
OS,OtherSide
Ksen,Ksenox
BOTS,BOTSVLR
QLF,QLF Clan
Alma,Almas Muertas
Lets,LetsSleep
Holl,Hollywood
50Fr,50Fragov
Ninj,Ninja Esport
368,368
ELSO,ELSO
brat,bratiki94
kom4ka,komand04ka
WLFC,WLFC
deat,deathwish
Cham,Chamomile Esports Camp
At0m,At0m Gaming
eXiLe,eXiLe eSports
Anyw,Anyway
Seve,SevenUp
NoCh,NoChance
huma,human Zeal
NoAv,NoAvocado
Deja,Deja Vu
Pros,Prosti Esli
Blac,Black Knight
F1,FORMULA 1
Lete,Leteam
nuBo,nuBo
Aspi,Aspire
FiRE,FiRELAND
TDCC,TDCC
tryi,trying to win
zTit,zTitans
CRAZ,CRAZY
BezB,BezBudushego
PLUS,PLUS7
EZ K,EZ KATKA
FAST,FAST TAXI
Arch,ArchNemesis
MoLo,MoLoDejKa
4SV_,4SV_OVOSHi
WDNM,WeDontNeedMana
Noma,Nomads
feel,feelmyhack
Bibl,BibleThump
Prin,Princeski
0123,01234
Slup,Sluper
Try,Try to Hard
BuyH,BuyHeart
Save,Save's eSports
mayb,maybegokill
ЧИ,ЧИХ-ПЫХ
M5,Moscow Five jr
bigm,bigmakcombo
Pois,Poised
SES,SMARACIS eSports
VNG,Vengeance
TYE,tyeasy
4x3,1280x960
AMT,Aim.Attack
GMT,GMT Esports
SNG,Team Singularity
AX,Axsor
Juju,Jujutsu
hPw,HIGHPOWER
vole,volei e peteca
Fake,Fakezin de cria
ROLO,ROLO COMPRESSOR
GIVE,GIVENCHY PARIS
blac,blackhat esports
não,não temos um plano
Vatr,Vatra Esports
Lyth,Lythronax
Eart,Earthquake Team
Kelu,Keluarga Bahagia
DEWA,Dewa United Esports
Orbi,Orbit
VVV,VVV
WAY,WAY Esports
PHX,Team Phenix
FT,FirstTime
ABC,AboveCloud
Zerc,Zercus Esports
47,47 Gaming
winn,winnable
ADT,Adroit
Midz,Midzy
HRY,Hiraya
SR T,SR Thanatos
VLK,Valkyrie Esports
LG E,LG Esports VEX
GA,Gen Alpha Temporal
Shad,ShadowFox Red
TiA,TiAMAT
KFC,KFCxTeam
Dami,Damianos Esport
Easy,Easy Esports
SMG,Team SMG
TMG,TMG Esports
Very,Very Laze
Sain,Saints
XLC,XLC Esports
KZ,KZ
Mjes,Mjestic Clan
EQX,Equinox Esports
Ace1,Ace1
HX,Hexad
Crea,Creatives
BRAC,BRACE LaM
NrTv,narrative
NEXU,NEXUS
Run,Run it Back
Def,Defect
Flex,Flex-Team
No C,No Country
FAV,FAV gaming
New,New Dawn Esports
Rebe,Rebel
BB,Boca Boston
Serv,Servelal e-Sports
Atsu,Atsumatte Mita
Chim,Chimaera
NeoA,NeoAimer
no n,no name
SBL,THE SHABLES
Clic,Click Five
SZ,SCARZ
Nori,Nori Nori Yoshinori
ScL Ende,SchwarzerLand
IBSG,FUKUSHIMA IBUSHIGIN
Shim,Shimada Family
SK,Sentinel Keep
Updr,Updraft
ORB,ORB GARDEN GAMING-MUT
Br7,Break 7
GEKO,GEKO GEKO GAMING
Dand,Dandelion
ICC,Icicle Conflict
GTS,Gaming Team SELECTOR
STCE,SETOUCHI ENLIFE
SPX,Storks Phalanx
MF14,MF14
7eve,7even Esport
Wolv,Wolves Crew
TME,Team Mayan
MTS,MTS Esports
Roya,Royal
Pro,Pro Hub Gaming
Bond,Bonde da Loli Careca
Fave,FavelaW
Bing,Binghamton Bearcats
BCG,BearClaw Gaming
mato,mato30eperco
TNET,TERROR.NET
Odin,Odin&Amigos
BRAV,BRAVOS GAMING
Baru,Barulhentos
QQQ,QQQ
Neo,Neo Culture Technology
Sewe,Sewercats
S2P,Sum 2 Prove
BRH,Bewds Retirement Home
Sile,Silence Esports
TLP,TradeLikePros
Insi,Insight
Hype,Hyped Esports
Meow,NeedMoreMeow
OG4Z,OG4Z
FM,Frail Males
Nigh,Nightly
Radi,Radiant Roombas
Merr,Merry Men
Dark,Dark Tempest
O.O.,O.O.D.A Loopers
AKM,Akuma Esports Black
TeVo,Team Volted
CD,Cosmic Divide
FBM,FBM
TI,Time In
To D,To Da Crib
Wind,Windstorm
dotE,dotExE
CORE,Project CORE
Stan,Stanky Bois
Pira,Pirate Nation
DNAD,DNADIFF
we l,we lost
Exot,Exotic
LYE,Lycus Empire
Unle,Unleashed Esports
Sbre,Sbread Gaming
Astr,Astral Hypnos
Boos,Boosted Immortals
UH E,UH Esports
ATK,ATK Mode
La F,La Familia
Xpli,Xplicit
zest,zesty's money crew
Thri,Thrifty
Left,Leftovers
BC,Batcave
NBL,Noble
Xiro,Xiron Gamers
Meat,Meat Feast Gang
Immo,Immortal Rogues
Volt,Voltage
Kupa,Kupalboys
Hasb,HasbullahPeek
df,dfiance
UNDE,UNDERDOGZ.
VAMO,VAMOS
TSG,The Stinking Geese
Monk,Monkey Stars
Puls,Pulsar Esport
Doub,Doubt the theory
Gr1n,Gr1nd
ENTS,ENTS
ooli,ooliganz
catJ,catJAM
WICK,WICKED
Shif,ShifterPro
Koud,Koudkouto
Goda,Godalions
notb,notbuiltdif
DFX,DeftFox
EMP,Esport Empire
Waka,WakaWaka
bb k,bb kaverit
YA,YAZDA
NLG,NEW LEGENDS GAMING
MIX2,MIX2PLOUCS
SPED,SPEDS
Luck,Lucky Boys
404,404 Multigaming
Sabr,Sabre
Kolo,Kolossus Academy
Head,Headshot Infinity 
N2E,Native 2 Empire
IAS,Illés Akadémia Spirit
Judg,Judge to World
NoPr,NoPracc
Soma,Somalia
SLAY,SLAYER
Ameg,Amegakure
wash,washedfortniteboomers
KNG,Kanga Esports
mode,mode:
S7,Storm7
Pres,Prestigious Women
MRS,Movistar Riders
Mall,MallunRed
PvS,Prinzen von Stuttgart
Rapt,Raptor Esport
IHG,Illuminar Gaming
Rhyn,Rhyno Esports
Dece,Decent Esports
rööcivarkaat,rööcivarkaat
Mach,Machine Soldiers
Span,Spanish Mix
15 K,15 Kings
dgen,dgen
La M,La Menace Fantôme
Nth,Nth Gaming
Init,Initiative
HIGH,HIGHFIVE
UFO,UFO
AMZ,Amazing
locu,locust
PANA,PANAIF
Samu,Samurais in Business Suits
jn,junummer
IPL,IPL E-SPORT
iNCR,iNCREDIBLES
karm,karmeliet
Prec,Precision-Gaming
Pare,Parek v rohliku
SICK,SICKTHICK
Sent,Sentry Esports
SSP,Sissi State Punks
NGF,need girlfriend
FOXA,FOXA NSV
miks,miks
TGH,The Goose House
EDW,Edelweiss Esports
MSP,MSP
Vieu,Vieux Touristes
uP,Grow uP eSports
Play,Playing Aliens
Unde,Underdogs
Jamm,Jammers
DTT,dATHITANS 
M4LIK,M4LIK
FMD,Follow My Drone
Luul,Luulot pois
FLEE,FLEER
Devi,Deviance
GOOD,GOODGAME
NOIR,Noir
SCAR,Scaroo's
FSHR,Fisher's Esports
HIGA,HIGAN
SNM,Somnium Esports
HowL,HowL Esport
FE,Folouers Esports
FCT,Firecrest
ROISS,Roisseur
VCTI,VictoriousID
XTM,Xterminate
Synt,Syntax
GBH,GBH Esports
KARA,KARA
MPC,MPC
PWYH,PWYH
Vend,Vendetta
Nong,Nongkrong Kilat
Recca.P,Recca Project
Invi,Invicta
S*ON,S*ONE
Miss,Missing Piece
Thie,Thieves of Hours
T.A.,T.A.S
BYE,BYE
HZ,Huat Zai
Diff,Diffixone
KS,KINGSLAYERS
Menc,Mencari Tempat Berlabuh
TOKYO,Tokyo
SYG,Steal Your Glory
EGOM,EGO Media
AIMB,AIMBOT
VGM,V Gaming
EQ F,EQ Flash
RTS,Renatus Black
Exor,Exorcist.ESC
WHAA,WHAAN WHAAN Esport
BeFr,BeFriend Teamwork
HuaT,HuaTua
Gene,Generation 5
Infe,Inferus Esports
LS,Lumsum
JG.J,JG.JIANG
GMM,Team GMM
No N,No Name
TFN,TYPHOONS
VF,Victory Formula
TGPA,TGPA
XTRE,XTREME
ZZZ,ZZZ
Full,Full Zen
APLO,APLOE
DRM,DRM Esports
Wulf,Wulf Esports
AD I,AD Infinitum MORPHEUS
Hash,Hashira
XYB,Xyberium
TGR,Teletigers Sol
Shik,Shikashi Esports
Zen2,Zen2 Esports
Cels,Celsus
Vici,Vicious Flawless
iXA,iXA
JUP,Absolute JUPITER
Seco,Second Chance
LL,LL
Stel,Stella
yoru,yoru
INRE,INREGS
KING,KINGS Esports
BOOM,BOOM SHAKA LAKA
LE,Last Evolution
Knoc,KnockOut Esports
Z-Ma,Z-Managa eSports
JO C,JO Clan
OPY,Team Occupy
Eter,Eternity Esports
Erro,Error404
E9,E9Sports
SPL,Spotlight
THA,Thailand Attitude
FORF,FORFUN
Roh,Roh Elbas Gang
B13,B13
ORG5,Orgless5
WHAT,WHATS POPPIN
C SI,C SITE E-SPORTS
Tita,Titan Esports
GİV,GİVEMEORG
YA M,YA MUSALLA YA MAPUS
Itas,Itasrum Espor
Orde,Order 66
Magn,MagnaLupus
-ws-,westSide
Bart,Bartender Esport
Lose,Loser Gang
Leca,Lecassit E-Sports
ALC,ALCATRAZ
5M,5MORONS
ABB,ABB ASKİ ESPOR
DO S,DO SOMETHING
Exer,Exercitus5
Noob,NoobsInAct1oN
5MS,5Moneyless
RON,Raicho's ninjas
VIN,VIN G
w0wC,w0wClan
Thun,Thunderflash
FLAS,FLASHERS
BAYE,BAYER NEVERLOSEN
HK,Hadi Kanka Esports
Warn,WarningStepz
MASS,MASSIVESTROKE E-SPORTS
ez,evilzone
PRD,Predatory Esports
Siva,Sivasspor E-Spor
TETA,TETA Esports Academy
KAFI,KANAFI
hlns,hellons
NP,No Pressure
BTW,Born to win
mcch,mcchicken
41rk,4ru+1kz
Stro,StrongUnion
nway,nway
Ajin,Ajin
BadLeg,BadLeg
PURP,PURPURE
Yaku,Yakuza
BUYK,BUYKEY
ZXC,ZXC GAMING
ENRA,ENRAGED
tp2luz,tp i 2 luza
chil,chill boys
ZOTIX,ZOTIX
TMSPACE,TEAM SPACE
Epq,Epq
7UP,7UP
Nice,Nice Gaming
F5S,FUTURE5STARS
Even,Evenate Gaming
1000,1000-7
MBVI,MBVINO
ANBU,ANBU Ops
Que,Que la famille
meme,meme666
ULUG,ULUGBEK
969,969 gang
VEXEC,ValorantEXEC
PRDX,Paradox Esports
OPS,OverPalaStrike
BNDT,Bandits
AGG,AGG
TILT,Tilted
Frat,Frat Frogs
TYR,Tyrant Esports
TT,TinyTurtles
1620,1620 Kings
Esha,Eshays
pars,parsians
DGen,DGenZ
RATS,MENA RATS
DGR,Digger Esports
TWQ,Tuwaiq Esports Club
Alph,Alpha Peeks
POIS,POISON CLAN
GR,Team Gravity
ATRO,ATROPELADOS
paiN,paiN Gaming
PIR,6045Pirates
NXLG,NXL LIGAGAME
Feel,Feel The Wall
NR,NaRasslabone
Our,Our Finale Story
Food,Food Eat
SAV,Saviors
SPG,SPEAR GAMING
RIO,Rio Company
Swio,SwioN Gaming
InG,I need Girlfriend
FATA,FATAL
KPM,KPM
TBP,TUBEPLE Gaming
AUTO,AUTOCRACY
AMR,Amolrang
LAG,LAG Gaming
ETER,ETERNALS
el b,el bdoon
the,the gorillas
TD,Team Duelist
Bait,Baited
Hard,Hard Light Esports
CCG,Cairo City G'zzz
Inva,Invaders
gucc,gucciGANG
LNG,Team Lightning
Meme,Memelanders
DLWZK,DELIRAWOW
RATA,RATAO
BD,Black Dragons
Vora,Vorax
Sush,Susheria Katojin
B4,B4 Esports
IMP,Imperial Esports
Vamm,Vammo E-Sports
