Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result
Valorant Champions 2021,Playoffs,Grand Final,Acend vs Gambit Esports,Acend,Gambit Esports,3,2,Acend won
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,100 Thieves vs Gen.G,100 Thieves,Gen.G,2,1,100 Thieves won
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,XSET vs Luminosity,XSET,Luminosity,2,1,XSET won
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,100 Thieves vs XSET,100 Thieves,XSET,2,1,100 Thieves won
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,FaZe Clan vs Rise,FaZe Clan,Rise,1,2,Rise won
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Version1 vs Cloud9,Version1,Cloud9,0,2,Cloud9 won
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,Rise vs Cloud9,Rise,Cloud9,2,1,Rise won
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Gen.G vs Luminosity,Gen.G,Luminosity,2,0,Gen.G won
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,FaZe Clan vs Version1,FaZe Clan,Version1,0,2,Version1 won
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Cloud9 vs Gen.G,Cloud9,Gen.G,2,1,Cloud9 won
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,XSET vs Version1,XSET,Version1,2,0,XSET won
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,100 Thieves vs Rise,100 Thieves,Rise,1,2,Rise won
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 3,Cloud9 vs XSET,Cloud9,XSET,2,0,Cloud9 won
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,100 Thieves vs Cloud9,100 Thieves,Cloud9,1,2,Cloud9 won
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,Rise vs Cloud9,Rise,Cloud9,0,3,Cloud9 won
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Sharks Esports vs E-Xolos LAZER,Sharks Esports,E-Xolos LAZER,2,0,Sharks Esports won
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (A),Australs vs FURIA,Australs,FURIA,2,1,Australs won
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (A),Sharks Esports vs Australs,Sharks Esports,Australs,1,2,Australs won
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (B),Six Karma vs Gamelanders Blue,Six Karma,Gamelanders Blue,1,2,Gamelanders Blue won
Champions Tour South America: Last Chance Qualifier,Group Stage,Opening (B),Liberty vs INFINITY,Liberty,INFINITY,2,0,Liberty won
Champions Tour South America: Last Chance Qualifier,Group Stage,Winner's (B),Gamelanders Blue vs Liberty,Gamelanders Blue,Liberty,2,0,Gamelanders Blue won
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (A),E-Xolos LAZER vs FURIA,E-Xolos LAZER,FURIA,0,2,FURIA won
Champions Tour South America: Last Chance Qualifier,Group Stage,Elimination (B),Six Karma vs INFINITY,Six Karma,INFINITY,2,1,Six Karma won
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (A),Sharks Esports vs FURIA,Sharks Esports,FURIA,0,2,FURIA won
Champions Tour South America: Last Chance Qualifier,Group Stage,Decider (B),Liberty vs Six Karma,Liberty,Six Karma,2,1,Liberty won
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,Australs vs Liberty,Australs,Liberty,2,0,Australs won
Champions Tour South America: Last Chance Qualifier,Playoffs,Semifinals,Gamelanders Blue vs FURIA,Gamelanders Blue,FURIA,1,2,FURIA won
Champions Tour South America: Last Chance Qualifier,Playoffs,Grand Final,Australs vs FURIA,Australs,FURIA,0,3,FURIA won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,G2 Esports vs Anubis Gaming,G2 Esports,Anubis Gaming,2,0,G2 Esports won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,FUT Esports vs Oxygen Esports,FUT Esports,Oxygen Esports,2,0,FUT Esports won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Papara SuperMassive vs Guild Esports,Papara SuperMassive,Guild Esports,1,2,Guild Esports won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Team Liquid vs One Breath Gaming,Team Liquid,One Breath Gaming,2,0,Team Liquid won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Anubis Gaming vs Oxygen Esports,Anubis Gaming,Oxygen Esports,0,2,Oxygen Esports won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,Papara SuperMassive vs One Breath Gaming,Papara SuperMassive,One Breath Gaming,2,1,Papara SuperMassive won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,G2 Esports vs FUT Esports,G2 Esports,FUT Esports,2,1,G2 Esports won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,Guild Esports vs Team Liquid,Guild Esports,Team Liquid,0,2,Team Liquid won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,Guild Esports vs Oxygen Esports,Guild Esports,Oxygen Esports,2,0,Guild Esports won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,FUT Esports vs Papara SuperMassive,FUT Esports,Papara SuperMassive,2,1,FUT Esports won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Final,G2 Esports vs Team Liquid,G2 Esports,Team Liquid,1,2,Team Liquid won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 3,Guild Esports vs FUT Esports,Guild Esports,FUT Esports,2,0,Guild Esports won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Final,G2 Esports vs Guild Esports,G2 Esports,Guild Esports,0,2,Guild Esports won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Grand Final,Team Liquid vs Guild Esports,Team Liquid,Guild Esports,3,1,Team Liquid won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Round 1,BOOM Esports vs FENNEL,BOOM Esports,FENNEL,2,0,BOOM Esports won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Round 1,Global Esports vs DAMWON Gaming,Global Esports,DAMWON Gaming,2,1,Global Esports won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,FULL SENSE vs REJECT,FULL SENSE,REJECT,2,1,FULL SENSE won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,F4Q vs NORTHEPTION,F4Q,NORTHEPTION,0,2,NORTHEPTION won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,NUTURN vs BOOM Esports,NUTURN,BOOM Esports,2,0,NUTURN won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Quarterfinals,Paper Rex vs Global Esports,Paper Rex,Global Esports,2,0,Paper Rex won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 1,REJECT vs DAMWON Gaming,REJECT,DAMWON Gaming,0,2,DAMWON Gaming won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 1,F4Q vs FENNEL,F4Q,FENNEL,2,1,F4Q won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Semifinals,NUTURN vs FULL SENSE,NUTURN,FULL SENSE,1,2,FULL SENSE won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Semifinals,Paper Rex vs NORTHEPTION,Paper Rex,NORTHEPTION,0,2,NORTHEPTION won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 2,BOOM Esports vs DAMWON Gaming,BOOM Esports,DAMWON Gaming,0,2,DAMWON Gaming won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 2,Global Esports vs F4Q,Global Esports,F4Q,1,2,F4Q won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Bracket Final,FULL SENSE vs NORTHEPTION,FULL SENSE,NORTHEPTION,1,2,NORTHEPTION won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 3,Paper Rex vs DAMWON Gaming,Paper Rex,DAMWON Gaming,1,2,DAMWON Gaming won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 3,NUTURN vs F4Q,NUTURN,F4Q,2,1,NUTURN won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Round 4,DAMWON Gaming vs NUTURN,DAMWON Gaming,NUTURN,2,0,DAMWON Gaming won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Bracket Final,FULL SENSE vs DAMWON Gaming,FULL SENSE,DAMWON Gaming,2,0,FULL SENSE won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,NORTHEPTION vs FULL SENSE,NORTHEPTION,FULL SENSE,2,3,FULL SENSE won
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,Fox Gaming vs Geekay Esports,Fox Gaming,Geekay Esports,2,1,Fox Gaming won
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,Team Majesty vs YaLLa Esports,Team Majesty,YaLLa Esports,0,2,YaLLa Esports won
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,NASR Esports vs Piercer Esports,NASR Esports,Piercer Esports,0,2,Piercer Esports won
Strike Arabia Championship: Finals,Main Event,Upper Bracket Quarterfinals,Team RA'AD vs Anubis Gaming,Team RA'AD,Anubis Gaming,2,1,Team RA'AD won
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 1,Geekay Esports vs NASR Esports,Geekay Esports,NASR Esports,1,2,NASR Esports won
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 1,Anubis Gaming vs Team Majesty,Anubis Gaming,Team Majesty,2,0,Anubis Gaming won
Strike Arabia Championship: Finals,Main Event,Upper Bracket Semifinals,Fox Gaming vs Piercer Esports,Fox Gaming,Piercer Esports,1,2,Piercer Esports won
Strike Arabia Championship: Finals,Main Event,Upper Bracket Semifinals,Team RA'AD vs YaLLa Esports,Team RA'AD,YaLLa Esports,2,0,Team RA'AD won
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 2,Fox Gaming vs Anubis Gaming,Fox Gaming,Anubis Gaming,1,1,Anubis Gaming won
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 2,YaLLa Esports vs NASR Esports,YaLLa Esports,NASR Esports,1,2,NASR Esports won
Strike Arabia Championship: Finals,Main Event,Lower Bracket Round 3,NASR Esports vs Anubis Gaming,NASR Esports,Anubis Gaming,0,2,Anubis Gaming won
Strike Arabia Championship: Finals,Main Event,Upper Finals,Piercer Esports vs Team RA'AD,Piercer Esports,Team RA'AD,0,2,Team RA'AD won
Strike Arabia Championship: Finals,Main Event,Lower Bracket Finals,Piercer Esports vs Anubis Gaming,Piercer Esports,Anubis Gaming,1,2,Anubis Gaming won
Strike Arabia Championship: Finals,Main Event,Grand Finals,Team RA'AD vs Anubis Gaming,Team RA'AD,Anubis Gaming,1,3,Anubis Gaming won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (A),Papara SuperMassive vs Acend,Papara SuperMassive,Acend,0,2,Acend won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,G2 Esports vs F4Q,G2 Esports,F4Q,2,1,G2 Esports won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (C),100 Thieves vs Liberty,100 Thieves,Liberty,2,0,100 Thieves won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (A),Vision Strikers vs Paper Rex,Vision Strikers,Paper Rex,2,0,Vision Strikers won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (C),Gambit Esports vs Crazy Raccoon,Gambit Esports,Crazy Raccoon,2,0,Gambit Esports won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (B),Keyd Stars vs Envy,Keyd Stars,Envy,0,2,Envy won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (B),KRÜ Esports vs ZETA DIVISION,KRÜ Esports,ZETA DIVISION,2,1,KRÜ Esports won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,Sentinels vs G2 Esports,Sentinels,G2 Esports,2,1,Sentinels won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Winner's (C),Gambit Esports vs 100 Thieves,Gambit Esports,100 Thieves,1,2,100 Thieves won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Winner's (B),Envy vs KRÜ Esports,Envy,KRÜ Esports,2,0,Envy won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Winner's (A),Vision Strikers vs Acend,Vision Strikers,Acend,2,0,Vision Strikers won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,F4Q vs Sentinels,F4Q,Sentinels,0,2,Sentinels won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,F4Q vs G2 Esports,F4Q,G2 Esports,0,2,G2 Esports won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Elimination (B),Keyd Stars vs ZETA DIVISION,Keyd Stars,ZETA DIVISION,2,0,Keyd Stars won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Elimination (C),Crazy Raccoon vs Liberty,Crazy Raccoon,Liberty,2,0,Crazy Raccoon won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Elimination (A),Paper Rex vs Papara SuperMassive,Paper Rex,Papara SuperMassive,1,2,Papara SuperMassive won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,G2 Esports vs Sentinels,G2 Esports,Sentinels,2,0,G2 Esports won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Decider (B),KRÜ Esports vs Keyd Stars,KRÜ Esports,Keyd Stars,2,0,KRÜ Esports won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Decider (A),Acend vs Papara SuperMassive,Acend,Papara SuperMassive,2,1,Acend won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Decider (C),Gambit Esports vs Crazy Raccoon,Gambit Esports,Crazy Raccoon,2,0,Gambit Esports won
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,Sentinels vs F4Q,Sentinels,F4Q,2,1,Sentinels won
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Quarterfinals,Vision Strikers vs Gambit Esports,Vision Strikers,Gambit Esports,1,2,Gambit Esports won
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Quarterfinals,G2 Esports vs KRÜ Esports,G2 Esports,KRÜ Esports,2,0,G2 Esports won
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Quarterfinals,100 Thieves vs Acend,100 Thieves,Acend,2,1,100 Thieves won
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Quarterfinals,Envy vs Sentinels,Envy,Sentinels,2,0,Envy won
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Semifinals,Gambit Esports vs G2 Esports,Gambit Esports,G2 Esports,2,0,Gambit Esports won
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Semifinals,100 Thieves vs Envy,100 Thieves,Envy,0,2,Envy won
Valorant Champions Tour Stage 3: Masters Berlin,Playoffs,Grand Final,Envy vs Gambit Esports,Envy,Gambit Esports,0,3,Gambit Esports won
Oceania Tour: Championship,Main Event,Upper Quarterfinals,ORDER vs Dire Wolves,ORDER,Dire Wolves,2,0,ORDER won
Oceania Tour: Championship,Main Event,Upper Quarterfinals,Wildcard Gaming vs Nebula,Wildcard Gaming,Nebula,2,0,Wildcard Gaming won
Oceania Tour: Championship,Main Event,Upper Quarterfinals,PEACE vs Legacy Esports,PEACE,Legacy Esports,2,0,PEACE won
Oceania Tour: Championship,Main Event,Upper Quarterfinals,Mindfreak vs Team Bliss,Mindfreak,Team Bliss,1,2,Team Bliss won
Oceania Tour: Championship,Main Event,Upper Semifinals,ORDER vs PEACE,ORDER,PEACE,2,0,ORDER won
Oceania Tour: Championship,Main Event,Lower Round 1,Dire Wolves vs Legacy Esports,Dire Wolves,Legacy Esports,0,2,Legacy Esports won
Oceania Tour: Championship,Main Event,Upper Semifinals,Wildcard Gaming vs Team Bliss,Wildcard Gaming,Team Bliss,1,2,Team Bliss won
Oceania Tour: Championship,Main Event,Lower Round 1,Nebula vs Mindfreak,Nebula,Mindfreak,2,0,Nebula won
Oceania Tour: Championship,Main Event,Lower Round 2,Wildcard Gaming vs Legacy Esports,Wildcard Gaming,Legacy Esports,2,1,Wildcard Gaming won
Oceania Tour: Championship,Main Event,Lower Round 2,PEACE vs Nebula,PEACE,Nebula,2,1,PEACE won
Oceania Tour: Championship,Main Event,Upper Final,ORDER vs Team Bliss,ORDER,Team Bliss,2,0,ORDER won
Oceania Tour: Championship,Main Event,Lower Round 3,Wildcard Gaming vs PEACE,Wildcard Gaming,PEACE,0,2,PEACE won
Oceania Tour: Championship,Main Event,Lower Final,Team Bliss vs PEACE,Team Bliss,PEACE,1,2,PEACE won
Oceania Tour: Championship,Main Event,Grand Final,ORDER vs PEACE,ORDER,PEACE,3,2,ORDER won
Strike Arabia League: Season 3,GCC and Iraq,Group Stage,New Genesis Esports vs Team Validus,New Genesis Esports,Team Validus,2,1,New Genesis Esports won
Strike Arabia League: Season 3,GCC and Iraq,Group Stage,Piercer Esports vs Top Gear,Piercer Esports,Top Gear,2,0,Piercer Esports won
Strike Arabia League: Season 3,GCC and Iraq,Group Stage,SCYTES vs Onyx Ravens,SCYTES,Onyx Ravens,2,0,SCYTES won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,Alterfox Esports vs Psycho Family,Alterfox Esports,Psycho Family,1,1,Psycho Family won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,Anubis Gaming vs Team WaVii,Anubis Gaming,Team WaVii,1,0,Anubis Gaming won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,La7zag Esports vs Elementals,La7zag Esports,Elementals,2,0,La7zag Esports won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,RTG eSports vs Exality,RTG eSports,Exality,2,1,RTG eSports won
Strike Arabia League: Season 3,GCC and Iraq,Group Stage,Team Validus vs Top Gear,Team Validus,Top Gear,1,2,Top Gear won
Strike Arabia League: Season 3,GCC and Iraq,Group Stage,Piercer Esports vs SCYTES,Piercer Esports,SCYTES,2,0,Piercer Esports won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,Alterfox Esports vs Team WaVii,Alterfox Esports,Team WaVii,1,1,Alterfox Esports won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,Psycho Family vs Elementals,Psycho Family,Elementals,2,0,Psycho Family won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,Anubis Gaming vs Exality,Anubis Gaming,Exality,2,0,Anubis Gaming won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,La7zag Esports vs RTG eSports,La7zag Esports,RTG eSports,2,0,La7zag Esports won
Strike Arabia League: Season 3,GCC and Iraq,Group Stage,New Genesis Esports vs Top Gear,New Genesis Esports,Top Gear,1,2,Top Gear won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,Alterfox Esports vs Elementals,Alterfox Esports,Elementals,1,2,Elementals won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,Team WaVii vs Exality,Team WaVii,Exality,2,0,Team WaVii won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,Psycho Family vs RTG eSports,Psycho Family,RTG eSports,2,0,Psycho Family won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,Anubis Gaming vs La7zag Esports,Anubis Gaming,La7zag Esports,2,0,Anubis Gaming won
Strike Arabia League: Season 3,GCC and Iraq,Group Stage,New Genesis Esports vs Onyx Ravens,New Genesis Esports,Onyx Ravens,2,1,New Genesis Esports won
Strike Arabia League: Season 3,GCC and Iraq,Group Stage,Top Gear vs SCYTES,Top Gear,SCYTES,0,2,SCYTES won
Strike Arabia League: Season 3,GCC and Iraq,Group Stage,Mythociast vs Piercer Esports,Mythociast,Piercer Esports,0,2,Piercer Esports won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,Alterfox Esports vs Exality,Alterfox Esports,Exality,2,1,Alterfox Esports won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,Elementals vs RTG eSports,Elementals,RTG eSports,0,2,RTG eSports won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,Team WaVii vs La7zag Esports,Team WaVii,La7zag Esports,0,2,La7zag Esports won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,Psycho Family vs Anubis Gaming,Psycho Family,Anubis Gaming,0,2,Anubis Gaming won
Strike Arabia League: Season 3,GCC and Iraq,Group Stage,Onyx Ravens vs Piercer Esports,Onyx Ravens,Piercer Esports,0,2,Piercer Esports won
Strike Arabia League: Season 3,GCC and Iraq,Group Stage,Top Gear vs Fraggerz,Top Gear,Fraggerz,1,2,Fraggerz won
Strike Arabia League: Season 3,GCC and Iraq,Group Stage,New Genesis Esports vs SCYTES,New Genesis Esports,SCYTES,0,2,SCYTES won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,Team WaVii vs Psycho Family,Team WaVii,Psycho Family,1,2,Psycho Family won
Strike Arabia League: Season 3,GCC and Iraq,Group Stage,SCYTES vs Fraggerz,SCYTES,Fraggerz,0,2,Fraggerz won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,Alterfox Esports vs La7zag Esports,Alterfox Esports,La7zag Esports,0,1,La7zag Esports won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,RTG eSports vs Anubis Gaming,RTG eSports,Anubis Gaming,0,2,Anubis Gaming won
Strike Arabia League: Season 3,GCC and Iraq,Group Stage,SCYTES vs Mythociast,SCYTES,Mythociast,0,2,Mythociast won
Strike Arabia League: Season 3,GCC and Iraq,Group Stage,Onyx Ravens vs Top Gear,Onyx Ravens,Top Gear,2,0,Onyx Ravens won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,Alterfox Esports vs Anubis Gaming,Alterfox Esports,Anubis Gaming,0,2,Anubis Gaming won
Strike Arabia League: Season 3,Levant and North Africa,Group Stage,La7zag Esports vs Psycho Family,La7zag Esports,Psycho Family,2,0,La7zag Esports won
Valorant Conquerors Championship,India Qualifier #1,Round of 16,Global Esports vs Team Inazuma,Global Esports,Team Inazuma,2,0,Global Esports won
Valorant Conquerors Championship,India Qualifier #1,Round of 16,TempesT vs Bi eSports,TempesT,Bi eSports,2,1,TempesT won
Valorant Conquerors Championship,India Qualifier #1,Round of 16,GodLike Esports vs Lethal Esports,GodLike Esports,Lethal Esports,2,0,GodLike Esports won
Valorant Conquerors Championship,India Qualifier #1,Round of 16,Enigma Gaming vs W Gaming,Enigma Gaming,W Gaming,2,0,Enigma Gaming won
Valorant Conquerors Championship,India Qualifier #1,Round of 16,Velocity Gaming vs True Rippers,Velocity Gaming,True Rippers,2,0,Velocity Gaming won
Valorant Conquerors Championship,India Qualifier #1,Round of 16,F1LS Esports vs Outset Esports,F1LS Esports,Outset Esports,2,0,F1LS Esports won
Valorant Conquerors Championship,India Qualifier #1,Round of 16,Samurai Esports vs Kill To Win,Samurai Esports,Kill To Win,2,0,Samurai Esports won
Valorant Conquerors Championship,India Qualifier #1,Round of 16,Team 69 vs Reckoning Esports,Team 69,Reckoning Esports,2,1,Team 69 won
Valorant Conquerors Championship,India Qualifier #1,Quarterfinals,Global Esports vs TempesT,Global Esports,TempesT,2,0,Global Esports won
Valorant Conquerors Championship,India Qualifier #1,Quarterfinals,GodLike Esports vs Enigma Gaming,GodLike Esports,Enigma Gaming,1,2,Enigma Gaming won
Valorant Conquerors Championship,India Qualifier #1,Quarterfinals,Velocity Gaming vs F1LS Esports,Velocity Gaming,F1LS Esports,2,1,Velocity Gaming won
Valorant Conquerors Championship,India Qualifier #1,Quarterfinals,Samurai Esports vs Team 69,Samurai Esports,Team 69,2,0,Samurai Esports won
Valorant Conquerors Championship,India Qualifier #1,Semifinals,Global Esports vs Enigma Gaming,Global Esports,Enigma Gaming,2,0,Global Esports won
