Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,Keyd Stars vs Ninjas In Pyjamas,Keyd Stars,Ninjas In Pyjamas,2,1,Keyd Stars won
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 3,Keyd Stars vs TBK Esports,Keyd Stars,TBK Esports,1,2,TBK Esports won
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Final,FURIA vs KRÜ Esports,FURIA,KRÜ Esports,0,3,KRÜ Esports won
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Final,FURIA vs TBK Esports,FURIA,TBK Esports,3,0,FURIA won
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,The Guard vs Sentinels,The Guard,Sentinels,2,1,The Guard won
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,FaZe Clan vs Evil Geniuses,FaZe Clan,Evil Geniuses,2,1,FaZe Clan won
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,NRG Esports vs 100 Thieves,NRG Esports,100 Thieves,1,2,100 Thieves won
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Shopify Rebellion vs Cloud9,Shopify Rebellion,Cloud9,0,2,Cloud9 won
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,The Guard vs Cloud9,The Guard,Cloud9,2,0,The Guard won
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Sentinels vs Shopify Rebellion,Sentinels,Shopify Rebellion,2,0,Sentinels won
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Semifinals,FaZe Clan vs 100 Thieves,FaZe Clan,100 Thieves,2,1,FaZe Clan won
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 1,Evil Geniuses vs NRG Esports,Evil Geniuses,NRG Esports,0,2,NRG Esports won
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,100 Thieves vs Sentinels,100 Thieves,Sentinels,2,1,100 Thieves won
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 2,Cloud9 vs NRG Esports,Cloud9,NRG Esports,2,0,Cloud9 won
Champions Tour North America: Last Chance Qualifier,Main Event,Upper Final,The Guard vs FaZe Clan,The Guard,FaZe Clan,2,0,The Guard won
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Round 3,100 Thieves vs Cloud9,100 Thieves,Cloud9,2,0,100 Thieves won
Champions Tour North America: Last Chance Qualifier,Main Event,Lower Final,FaZe Clan vs 100 Thieves,FaZe Clan,100 Thieves,0,3,100 Thieves won
Champions Tour North America: Last Chance Qualifier,Main Event,Grand Final,The Guard vs 100 Thieves,The Guard,100 Thieves,0,3,100 Thieves won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,G2 Esports vs OG LDN UTD,G2 Esports,OG LDN UTD,0,2,OG LDN UTD won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,M3 Champions vs Acend,M3 Champions,Acend,2,1,M3 Champions won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Team Liquid vs BBL Esports,Team Liquid,BBL Esports,2,0,Team Liquid won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Quarterfinals,Guild Esports vs Natus Vincere,Guild Esports,Natus Vincere,1,2,Natus Vincere won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,G2 Esports vs Acend,G2 Esports,Acend,2,1,G2 Esports won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 1,BBL Esports vs Guild Esports,BBL Esports,Guild Esports,0,2,Guild Esports won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,OG LDN UTD vs M3 Champions,OG LDN UTD,M3 Champions,1,2,M3 Champions won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Semifinals,Team Liquid vs Natus Vincere,Team Liquid,Natus Vincere,2,0,Team Liquid won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,Natus Vincere vs G2 Esports,Natus Vincere,G2 Esports,0,2,G2 Esports won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 2,OG LDN UTD vs Guild Esports,OG LDN UTD,Guild Esports,2,0,OG LDN UTD won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Upper Final,M3 Champions vs Team Liquid,M3 Champions,Team Liquid,2,1,M3 Champions won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Round 3,G2 Esports vs OG LDN UTD,G2 Esports,OG LDN UTD,2,0,G2 Esports won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Lower Final,Team Liquid vs G2 Esports,Team Liquid,G2 Esports,2,1,Team Liquid won
Champions Tour EMEA: Last Chance Qualifier,Main Event,Grand Final,M3 Champions vs Team Liquid,M3 Champions,Team Liquid,1,3,Team Liquid won
Champions Tour East Asia: Last Chance Qualifier,Main Event,Upper Quarterfinals,EDward Gaming vs Incheon On Sla2ers,EDward Gaming,Incheon On Sla2ers,2,0,EDward Gaming won
Champions Tour East Asia: Last Chance Qualifier,Main Event,Upper Quarterfinals,Maru Gaming vs REJECT,Maru Gaming,REJECT,0,2,REJECT won
Champions Tour East Asia: Last Chance Qualifier,Main Event,Upper Quarterfinals,Crazy Raccoon vs DAMWON Gaming,Crazy Raccoon,DAMWON Gaming,2,1,Crazy Raccoon won
Champions Tour East Asia: Last Chance Qualifier,Main Event,Upper Quarterfinals,NORTHEPTION vs KONE eSports Club,NORTHEPTION,KONE eSports Club,2,0,NORTHEPTION won
Champions Tour East Asia: Last Chance Qualifier,Main Event,Lower Round 1,Incheon On Sla2ers vs Maru Gaming,Incheon On Sla2ers,Maru Gaming,2,0,Incheon On Sla2ers won
Champions Tour East Asia: Last Chance Qualifier,Main Event,Lower Round 1,DAMWON Gaming vs KONE eSports Club,DAMWON Gaming,KONE eSports Club,0,2,KONE eSports Club won
Champions Tour East Asia: Last Chance Qualifier,Main Event,Upper Semifinals,EDward Gaming vs REJECT,EDward Gaming,REJECT,2,0,EDward Gaming won
Champions Tour East Asia: Last Chance Qualifier,Main Event,Upper Semifinals,Crazy Raccoon vs NORTHEPTION,Crazy Raccoon,NORTHEPTION,1,2,NORTHEPTION won
Champions Tour East Asia: Last Chance Qualifier,Main Event,Lower Round 2,Crazy Raccoon vs Incheon On Sla2ers,Crazy Raccoon,Incheon On Sla2ers,0,2,Incheon On Sla2ers won
Champions Tour East Asia: Last Chance Qualifier,Main Event,Lower Round 2,REJECT vs KONE eSports Club,REJECT,KONE eSports Club,0,2,KONE eSports Club won
Champions Tour East Asia: Last Chance Qualifier,Main Event,Upper Final,EDward Gaming vs NORTHEPTION,EDward Gaming,NORTHEPTION,2,0,EDward Gaming won
Champions Tour East Asia: Last Chance Qualifier,Main Event,Lower Round 3,Incheon On Sla2ers vs KONE eSports Club,Incheon On Sla2ers,KONE eSports Club,2,1,Incheon On Sla2ers won
Champions Tour East Asia: Last Chance Qualifier,Main Event,Lower Final,NORTHEPTION vs Incheon On Sla2ers,NORTHEPTION,Incheon On Sla2ers,1,2,Incheon On Sla2ers won
Champions Tour East Asia: Last Chance Qualifier,Main Event,Grand Final,EDward Gaming vs Incheon On Sla2ers,EDward Gaming,Incheon On Sla2ers,3,0,EDward Gaming won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Round 1,ORDER vs Fancy United Esports,ORDER,Fancy United Esports,2,0,ORDER won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Round 1,CERBERUS Esports vs Alter Ego,CERBERUS Esports,Alter Ego,0,2,Alter Ego won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Quarterfinals,Griffin E-Sports vs BOOM Esports,Griffin E-Sports,BOOM Esports,1,2,BOOM Esports won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Quarterfinals,Made in Thailand vs Team Secret,Made in Thailand,Team Secret,1,2,Team Secret won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Quarterfinals,ONIC G vs ORDER,ONIC G,ORDER,2,0,ONIC G won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Quarterfinals,BLEED vs Alter Ego,BLEED,Alter Ego,2,0,BLEED won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Round 1,Griffin E-Sports vs CERBERUS Esports,Griffin E-Sports,CERBERUS Esports,1,2,CERBERUS Esports won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Round 1,Made in Thailand vs Fancy United Esports,Made in Thailand,Fancy United Esports,2,1,Made in Thailand won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Semifinals,ONIC G vs BOOM Esports,ONIC G,BOOM Esports,0,2,BOOM Esports won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Semifinals,BLEED vs Team Secret,BLEED,Team Secret,2,0,BLEED won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Round 2,ORDER vs CERBERUS Esports,ORDER,CERBERUS Esports,2,0,ORDER won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Round 2,Alter Ego vs Made in Thailand,Alter Ego,Made in Thailand,1,2,Made in Thailand won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Round 3,Team Secret vs ORDER,Team Secret,ORDER,2,1,Team Secret won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Round 3,ONIC G vs Made in Thailand,ONIC G,Made in Thailand,2,0,ONIC G won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Upper Final,BOOM Esports vs BLEED,BOOM Esports,BLEED,2,1,BOOM Esports won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Round 4,Team Secret vs ONIC G,Team Secret,ONIC G,1,2,ONIC G won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Lower Final,BLEED vs ONIC G,BLEED,ONIC G,1,2,ONIC G won
Champions Tour Asia-Pacific: Last Chance Qualifier,Main Event,Grand Final,BOOM Esports vs ONIC G,BOOM Esports,ONIC G,3,1,BOOM Esports won
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Opening (B),DRX vs NORTHEPTION,DRX,NORTHEPTION,2,0,DRX won
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Opening (A),LOUD vs KRÜ Esports,LOUD,KRÜ Esports,1,2,KRÜ Esports won
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Opening (A),OpTic Gaming vs Guild Esports,OpTic Gaming,Guild Esports,0,2,Guild Esports won
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Opening (B),FunPlus Phoenix vs XERXIA Esports,FunPlus Phoenix,XERXIA Esports,2,1,FunPlus Phoenix won
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Winner's (A),Guild Esports vs KRÜ Esports,Guild Esports,KRÜ Esports,2,1,Guild Esports won
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Winner's (B),FunPlus Phoenix vs DRX,FunPlus Phoenix,DRX,1,2,DRX won
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Elimination (B),XERXIA Esports vs NORTHEPTION,XERXIA Esports,NORTHEPTION,1,2,NORTHEPTION won
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Elimination (A),OpTic Gaming vs LOUD,OpTic Gaming,LOUD,2,1,OpTic Gaming won
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Decider (B),FunPlus Phoenix vs NORTHEPTION,FunPlus Phoenix,NORTHEPTION,2,0,FunPlus Phoenix won
Valorant Champions Tour Stage 2: Masters Copenhagen,Group Stage,Decider (A),KRÜ Esports vs OpTic Gaming,KRÜ Esports,OpTic Gaming,0,2,OpTic Gaming won
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Upper Quarterfinals,Paper Rex vs Guild Esports,Paper Rex,Guild Esports,2,0,Paper Rex won
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Upper Quarterfinals,FNATIC vs FunPlus Phoenix,FNATIC,FunPlus Phoenix,2,0,FNATIC won
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Upper Quarterfinals,Leviatán vs DRX,Leviatán,DRX,1,2,DRX won
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Upper Quarterfinals,XSET vs OpTic Gaming,XSET,OpTic Gaming,0,2,OpTic Gaming won
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Lower Round 1,Guild Esports vs FunPlus Phoenix,Guild Esports,FunPlus Phoenix,1,2,FunPlus Phoenix won
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Lower Round 1,Leviatán vs XSET,Leviatán,XSET,2,1,Leviatán won
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Upper Semifinals,Paper Rex vs FNATIC,Paper Rex,FNATIC,2,0,Paper Rex won
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Upper Semifinals,DRX vs OpTic Gaming,DRX,OpTic Gaming,1,2,OpTic Gaming won
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Lower Round 2,FNATIC vs Leviatán,FNATIC,Leviatán,2,1,FNATIC won
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Lower Round 2,DRX vs FunPlus Phoenix,DRX,FunPlus Phoenix,0,2,FunPlus Phoenix won
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Upper Final,Paper Rex vs OpTic Gaming,Paper Rex,OpTic Gaming,2,1,Paper Rex won
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Lower Round 3,FunPlus Phoenix vs FNATIC,FunPlus Phoenix,FNATIC,2,1,FunPlus Phoenix won
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Lower Final,OpTic Gaming vs FunPlus Phoenix,OpTic Gaming,FunPlus Phoenix,1,3,FunPlus Phoenix won
Valorant Champions Tour Stage 2: Masters Copenhagen,Playoffs,Grand Final,Paper Rex vs FunPlus Phoenix,Paper Rex,FunPlus Phoenix,2,3,FunPlus Phoenix won
Oceania Tour: Championship,Main Event,Upper Semifinals,ORDER vs Funcrew,ORDER,Funcrew,1,2,Funcrew won
Oceania Tour: Championship,Main Event,Upper Semifinals,BOBO vs REIGN,BOBO,REIGN,2,1,BOBO won
Oceania Tour: Championship,Main Event,Lower Round 1,ORDER vs Bonkers,ORDER,Bonkers,2,1,ORDER won
Oceania Tour: Championship,Main Event,Lower Round 1,REIGN vs HONEY BADGERS,REIGN,HONEY BADGERS,2,1,REIGN won
Oceania Tour: Championship,Main Event,Upper Final,Funcrew vs BOBO,Funcrew,BOBO,0,2,BOBO won
Oceania Tour: Championship,Main Event,Lower Round 2 ,ORDER vs REIGN,ORDER,REIGN,2,0,ORDER won
Oceania Tour: Championship,Main Event,Lower Final,Funcrew vs ORDER,Funcrew,ORDER,0,2,ORDER won
Oceania Tour: Championship,Main Event,Grand Final,BOBO vs ORDER,BOBO,ORDER,1,3,ORDER won
Champions Tour LATAM/BR Stage 2: Last Chance Qualifier,Decider,Decider,Ninjas In Pyjamas vs KRÜ Esports,Ninjas In Pyjamas,KRÜ Esports,0,3,KRÜ Esports won
Champions Tour Latin America Stage 2: Playoffs,Playoffs,Upper Semifinals ,FUSION vs Leviatán,FUSION,Leviatán,2,1,FUSION won
Champions Tour Latin America Stage 2: Playoffs,Playoffs,Upper Semifinals ,KRÜ Esports vs E-Xolos LAZER,KRÜ Esports,E-Xolos LAZER,2,0,KRÜ Esports won
Champions Tour Latin America Stage 2: Playoffs,Playoffs,Lower Round 1,Leviatán vs E-Xolos LAZER,Leviatán,E-Xolos LAZER,2,0,Leviatán won
Champions Tour Latin America Stage 2: Playoffs,Playoffs,Upper Final,FUSION vs KRÜ Esports,FUSION,KRÜ Esports,0,2,KRÜ Esports won
Champions Tour Latin America Stage 2: Playoffs,Playoffs,Lower Final,FUSION vs Leviatán,FUSION,Leviatán,2,3,Leviatán won
Champions Tour Latin America Stage 2: Playoffs,Playoffs,Grand Final,KRÜ Esports vs Leviatán,KRÜ Esports,Leviatán,0,3,Leviatán won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Zer0 Latency vs TEN-5,Zer0 Latency,TEN-5,2,0,Zer0 Latency won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,YFP Gaming vs MEW2,YFP Gaming,MEW2,2,0,YFP Gaming won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Complexity vs Tokyo Revengers,Complexity,Tokyo Revengers,2,0,Complexity won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Aspyre vs RILLAS,Aspyre,RILLAS,2,1,Aspyre won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,SoaR vs Mizzou Esports,SoaR,Mizzou Esports,2,0,SoaR won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Exotic vs Free Fall,Exotic,Free Fall,0,2,Free Fall won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,DarkZero Esports vs Ego peekers,DarkZero Esports,Ego peekers,2,0,DarkZero Esports won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Able Esports vs DawN,Able Esports,DawN,0,2,DawN won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Ghost Gaming vs Team Opulence Black,Ghost Gaming,Team Opulence Black,2,0,Ghost Gaming won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,5 of a Kind vs Nation Gaming,5 of a Kind,Nation Gaming,0,2,Nation Gaming won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,BASILISK vs Lycus Empire,BASILISK,Lycus Empire,2,1,BASILISK won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Thanos Mug Academy vs SWARM esports,Thanos Mug Academy,SWARM esports,1,2,SWARM esports won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,AstraSect vs Team Opulence Gold,AstraSect,Team Opulence Gold,2,1,AstraSect won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Flex Gaming vs FaRt Clan,Flex Gaming,FaRt Clan,2,0,Flex Gaming won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,T1 vs Ugly Hamsters,T1,Ugly Hamsters,2,0,T1 won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Team Flux vs afterMath Esports,Team Flux,afterMath Esports,0,2,afterMath Esports won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Moon Raccoons vs Nana's Biscuits,Moon Raccoons,Nana's Biscuits,2,0,Moon Raccoons won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,New Moon vs select few,New Moon,select few,2,0,New Moon won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Lenny Time vs Go 4 Broke,Lenny Time,Go 4 Broke,2,0,Lenny Time won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Unknown vs Eros,Unknown,Eros,2,0,Unknown won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Soniqs vs SSA,Soniqs,SSA,2,0,Soniqs won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Moonrise vs Crownless,Moonrise,Crownless,2,1,Moonrise won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Zero MarksMen Black vs SLODI REPUS,Zero MarksMen Black,SLODI REPUS,2,0,Zero MarksMen Black won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,BASED vs Panda Party,BASED,Panda Party,2,0,BASED won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,TradeLikePros vs goth boy clique,TradeLikePros,goth boy clique,2,0,TradeLikePros won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Girl Kissers vs Phoenix2,Girl Kissers,Phoenix2,2,0,Girl Kissers won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Gen.G vs Face Off,Gen.G,Face Off,2,0,Gen.G won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Team MystiC vs Dallas Vendetta,Team MystiC,Dallas Vendetta,2,0,Team MystiC won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Clanless vs SYR,Clanless,SYR,2,0,Clanless won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Cloud9 White vs EDO TENSEI,Cloud9 White,EDO TENSEI,2,0,Cloud9 White won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,NYFU vs Pasquallys Pizza Posse,NYFU,Pasquallys Pizza Posse,2,0,NYFU won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Gorilla Gang vs Nocturnals,Gorilla Gang,Nocturnals,2,0,Gorilla Gang won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,TSM vs Discord Kitties uwu,TSM,Discord Kitties uwu,2,0,TSM won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,IlluZion vs Eclectiq,IlluZion,Eclectiq,2,1,IlluZion won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Cosmic Divide vs Desire Rising,Cosmic Divide,Desire Rising,2,1,Cosmic Divide won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Resonate vs StarBound,Resonate,StarBound,2,0,Resonate won
Champions Tour North America Stage 2: Challengers,Open Qualifier #1,Round of 128,Team Reckaroo vs Moonrise Black,Team Reckaroo,Moonrise Black,2,1,Team Reckaroo won
